City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
215,benguela,-12.5763,13.4055,300.11,79,100,1.06,AO,1707362080
216,morsi,21.3392,78.0131,294.16,44,16,2.87,IN,1707362080
217,port blair,11.6667,92.75,300.41,62,35,3.26,IN,1707361796
218,iskateley,67.6803,53.1512,255.94,96,100,5.81,RU,1707361817
219,tinogasta,-28.0632,-67.5649,299.04,51,100,5.1,AR,1707362081
220,northam,51.0333,-4.2167,284.63,95,100,8.09,GB,1707362081
221,funafuti,-8.5243,179.1942,301.15,83,75,10.29,TV,1707362081
222,lompoc,34.6391,-120.4579,284.14,75,100,7.15,US,1707362081
223,westport,41.1415,-73.3579,276.37,73,40,1.79,US,1707361792
224,aykhal,66.0,111.5,249.2,99,100,1.83,RU,1707362082
225,papatowai,-46.5619,169.4708,287.53,68,24,8.68,NZ,1707362082
226,qandala,11.472,49.8728,297.61,77,87,2.68,SO,1707362082
227,tazacorte,28.629,-17.9293,292.68,21,0,3.58,ES,1707362082
228,shenjiamen,29.9576,122.298,277.51,70,100,7.34,CN,1707362083
229,neryungri,56.6709,124.6491,256.22,85,100,3.7,RU,1707362083
230,defuniak springs,30.721,-86.1152,283.35,57,0,0.0,US,1707362083
231,taroa,8.7058,171.2275,300.34,79,97,8.14,MH,1707362083
232,sangin,32.0728,64.8359,280.18,35,0,3.54,AF,1707362084
233,holualoa,19.6228,-155.9522,297.06,77,40,2.57,US,1707362084
234,rio claro,-22.4114,-47.5614,293.27,91,89,2.15,BR,1707362084
235,andapa,-14.65,49.65,294.54,98,100,0.92,MG,1707362084
236,cabo san lucas,22.8909,-109.9124,295.1,64,20,3.09,MX,1707361828
237,tralee,52.2704,-9.7026,278.77,92,100,7.98,IE,1707362084
238,hami,42.8,93.45,270.59,58,2,2.05,CN,1707362085
239,saldanha,-33.0117,17.9442,290.18,85,15,4.2,ZA,1707362085
240,emerald,-23.5333,148.1667,308.31,30,6,7.61,AU,1707362085
241,thunder bay,48.4001,-89.3168,274.85,95,100,3.8,CA,1707362085
242,yadrin,55.9405,46.2062,260.2,97,96,1.86,RU,1707362086
243,bacalar,18.6667,-88.3833,291.57,78,0,1.72,MX,1707362086
244,sechura,-5.5569,-80.8222,300.26,72,56,5.55,PE,1707361801
245,kaduy,59.2,37.15,250.19,97,99,2.69,RU,1707362086
246,mili,6.0815,171.735,301.01,79,44,9.58,MH,1707362086
247,molina,-35.1167,-71.2833,299.0,47,0,3.09,CL,1707362087
248,bel ombre,-4.6167,55.4167,300.06,83,20,5.14,SC,1707362087
249,pawai,24.2667,80.1667,288.02,37,100,3.16,IN,1707362087
250,enriquillo,17.9,-71.2333,295.54,62,26,1.43,DO,1707362087
251,la rinconada,37.4873,-5.9826,285.96,96,100,2.06,ES,1707362088
252,kashgar,39.4547,75.9797,268.71,74,20,3.0,CN,1707362088
253,huarmey,-10.0681,-78.1522,298.19,82,69,2.97,PE,1707362088
254,al bayda',32.7627,21.7551,282.41,54,93,3.96,LY,1707362088
255,agat village,13.3886,144.6585,304.67,62,20,7.72,GU,1707362088
256,lagos de moreno,21.35,-101.9167,290.33,21,65,1.48,MX,1707361886
257,nahrin,36.0649,69.1334,277.38,37,2,3.36,AF,1707362089
258,timbuktu,16.7735,-3.0074,292.53,12,90,4.07,ML,1707362089
259,nongstoin,25.5167,91.2667,285.07,36,0,2.33,IN,1707362090
260,vikhorevka,56.1201,101.1636,259.92,91,71,0.82,RU,1707362090
261,queenstown,-31.8976,26.8753,286.08,90,61,1.43,ZA,1707362090
262,sao raimundo nonato,-9.0153,-42.6994,297.43,69,99,0.69,BR,1707361844
263,san matias,-16.3667,-58.4,299.92,68,63,1.32,BO,1707361883
264,bellbrook,39.6356,-84.0708,282.5,57,0,3.09,US,1707361846
265,piton saint-leu,-21.2196,55.3151,297.21,73,100,2.06,RE,1707362091
266,port hedland,-20.3167,118.5667,313.18,14,2,5.66,AU,1707361793
267,kapa'a,22.0752,-159.319,300.14,72,100,6.69,US,1707362091
268,govardhan,27.5,77.4667,284.62,43,3,5.33,IN,1707362092
269,nemuro,43.3236,145.575,270.25,75,73,3.93,JP,1707362092
270,saint helena,-15.95,-5.7,293.97,82,79,6.37,SH,1707362092
271,guerrero negro,27.9769,-114.0611,288.55,63,3,4.92,MX,1707362092
272,collie,-33.3667,116.15,309.05,11,0,2.48,AU,1707362092
273,sangmelima,2.9333,11.9833,290.82,62,12,1.02,CM,1707362093
274,el calafate,-50.3408,-72.2768,280.75,86,53,5.23,AR,1707362093
275,cumbal,0.9088,-77.7915,282.21,93,93,1.59,CO,1707362093
276,alofi,-19.0595,-169.9187,304.09,66,75,3.6,NU,1707362093
277,kirkwood,38.5834,-90.4068,284.2,67,100,4.63,US,1707362093
278,mana,5.6592,-53.7767,298.99,77,80,4.57,GF,1707362094
279,neon karlovasion,37.7903,26.7044,290.88,84,100,7.43,GR,1707362094
280,lospalos,-8.5186,127.0025,303.3,57,97,1.1,TL,1707362094
281,chengde,40.9725,117.9361,269.74,30,86,1.71,CN,1707362094
282,manggar,-2.8833,108.2667,302.05,71,100,2.86,ID,1707362095
283,turpan,42.9333,89.1667,276.21,41,65,0.41,CN,1707362095
284,minab,27.1467,57.0801,290.02,67,3,0.08,IR,1707362095
285,pizarro,4.9533,-77.366,299.23,88,33,2.85,CO,1707362095
286,santa ana de yacuma,-13.75,-65.4333,297.6,87,35,3.14,BO,1707361812
287,new plymouth,-39.0667,174.0833,297.49,84,92,6.18,NZ,1707362095
288,kuusamo,65.9667,29.1833,245.17,76,100,0.51,FI,1707362096
289,kattivakkam,13.2167,80.3167,298.21,77,100,1.97,IN,1707362096
290,tabas,33.5959,56.9244,278.27,36,0,2.06,IR,1707362096
291,ciudad bolivar,8.1222,-63.5497,302.23,65,100,3.81,VE,1707362096
292,whitehorse,60.7161,-135.0538,256.93,73,87,1.54,CA,1707361826
293,onsala,57.4253,12.029,272.43,85,100,2.24,SE,1707362097
294,bombarral,39.2672,-9.158,289.63,78,100,6.36,PT,1707362097
295,adam,22.3756,57.5233,290.19,47,100,0.58,OM,1707362097
296,aasiaat,68.7098,-52.8699,253.04,97,100,0.99,GL,1707362097
297,plastun,44.7561,136.2939,268.6,46,0,5.8,RU,1707362097
298,rengasdengklok,-6.1592,107.2981,303.22,65,55,0.48,ID,1707362098
299,kushva,58.2906,59.7592,256.03,100,98,1.25,RU,1707362099
300,tazovsky,67.4667,78.7,265.46,95,100,5.42,RU,1707362099
301,boca suno,-0.7167,-77.1333,295.8,94,51,0.95,EC,1707362099
302,carnarvon,-24.8667,113.6333,305.88,40,0,2.17,AU,1707362099
303,midvagur,62.0511,-7.1939,271.61,80,40,3.6,FO,1707362099
304,tiquipaya,-17.3382,-66.2189,291.55,47,75,4.92,BO,1707362100
305,torrington,41.8007,-73.1212,274.83,71,19,0.89,US,1707362100
306,mahibadhoo,3.7833,72.9667,300.7,70,84,7.75,MV,1707362100
307,pisco,-13.7,-76.2167,297.18,88,0,5.14,PE,1707362100
308,okha,53.5739,142.9478,256.91,86,98,4.72,RU,1707362100
309,alangalang,11.2061,124.8467,299.6,85,65,1.35,PH,1707362100
310,port alfred,-33.5906,26.891,289.92,89,7,1.34,ZA,1707362101
311,smithers,54.7804,-127.1743,269.07,92,78,0.95,CA,1707362101
312,las heras,-46.5419,-68.9359,284.65,50,1,7.28,AR,1707361835
313,arraias,-12.9288,-46.9437,295.3,84,97,1.06,BR,1707362101
314,carupano,10.6678,-63.2585,298.33,91,56,3.39,VE,1707362102
315,colon,9.3592,-79.9014,296.43,85,63,4.47,PA,1707362102
316,kentville,45.0835,-64.4988,270.21,87,91,2.06,CA,1707362103
317,necochea,-38.5473,-58.7368,292.85,91,67,5.63,AR,1707362103
318,fortuna,40.5982,-124.1573,280.18,94,75,0.0,US,1707361854
319,sao joao da barra,-21.6403,-41.0511,298.11,89,100,1.97,BR,1707362103
320,walker,30.7335,-95.5669,290.57,77,100,5.14,US,1707362104
321,kolonia town,6.964,158.206,305.15,70,100,5.14,FM,1707362104
322,acarau,-2.8856,-40.12,300.09,83,16,5.67,BR,1707362104
323,bamboo flat,11.7,92.7167,300.47,62,39,3.28,IN,1707362105
324,lorengau,-2.0226,147.2712,301.12,80,100,8.78,PG,1707362105
325,tromso,69.6496,18.957,263.16,79,99,5.66,NO,1707361892
326,port macquarie,-31.4333,152.9167,297.53,71,100,6.78,AU,1707361962
327,fort bragg,35.139,-79.006,278.04,70,0,0.45,US,1707362106
328,akureyri,65.6835,-18.0878,264.11,86,75,1.03,IS,1707362106
329,luderitz,-26.6481,15.1594,290.93,74,92,4.77,NA,1707362106
330,baikunthpur,23.25,82.55,289.34,32,25,2.03,IN,1707362106
331,chui,-33.6971,-53.4616,294.62,90,54,3.48,UY,1707362106
332,kudymkar,59.0173,54.656,263.83,96,100,3.54,RU,1707362107
333,brookings,44.3114,-96.7984,281.58,86,100,9.24,US,1707361967
334,karoi,-16.8099,29.6925,291.64,86,97,0.81,ZW,1707362108
335,hirara,24.8,125.2833,293.07,82,75,9.77,JP,1707362108
336,burabay,53.0838,70.3138,266.99,88,100,11.5,KZ,1707362109
337,pasuquin,18.3328,120.6177,302.12,70,20,2.57,PH,1707362109
338,recani,31.2846,-4.2688,284.55,25,74,1.44,MA,1707362109
339,mersa matruh,31.3525,27.2453,288.21,60,6,1.74,EG,1707362109
340,kuanda,56.3161,116.0806,258.77,94,97,0.41,RU,1707362110
341,dickinson,29.4608,-95.0513,292.24,83,100,2.57,US,1707362056
342,gornozavodsk,58.3758,58.3211,259.54,98,97,1.42,RU,1707362110
343,belyy yar,53.6039,91.3903,250.09,77,95,0.0,RU,1707362110
344,selfoss,63.9331,-20.9971,261.6,83,4,4.74,IS,1707362110
345,fale old settlement,-9.3852,-171.2468,301.21,81,100,7.25,TK,1707362111
346,bengkulu,-3.8004,102.2655,302.06,66,67,0.86,ID,1707362111
347,la passe,45.5549,-0.8967,284.81,89,100,5.22,FR,1707361818
348,juneau,58.3019,-134.4197,269.32,95,20,0.0,US,1707362112
349,la reforma,25.0833,-108.05,290.86,74,79,5.03,MX,1707362112
350,soure,-0.7167,-48.5233,299.49,86,13,5.03,BR,1707362113
351,antofagasta,-23.65,-70.4,295.75,80,37,1.93,CL,1707362114
352,troitsko-pechorsk,62.7084,56.1964,264.09,95,71,3.58,RU,1707362115
353,langsa,4.4683,97.9683,303.66,57,38,1.87,ID,1707362115
354,nur-sultan,51.1801,71.446,267.12,86,100,14.0,KZ,1707362115
355,tocopilla,-22.092,-70.1979,296.8,77,0,1.84,CL,1707361914
356,san antonio de pale,-1.4014,5.6325,300.86,79,23,2.42,GQ,1707362116
357,berdigestyakh,62.0989,126.6992,242.75,96,98,2.24,RU,1707362116
358,pangai,-19.8,-174.35,301.1,79,12,4.24,TO,1707362116
359,omdurman,15.6445,32.4777,291.21,21,8,4.81,SD,1707362117
360,nan,18.8333,100.6667,295.16,60,0,1.03,TH,1707362117
361,makhambet,47.6667,51.5833,276.39,88,91,8.63,KZ,1707362117
362,mejit,10.2753,170.8646,299.89,80,77,8.69,MH,1707362117
363,mandera,3.9366,41.867,300.01,63,3,4.88,KE,1707362118
364,tam ky,15.5667,108.4833,298.53,83,63,1.16,VN,1707362118
365,acajutla,13.5928,-89.8275,297.09,52,38,3.22,SV,1707362118
366,imeko,7.45,2.85,297.97,23,10,0.52,NG,1707362118
